ResponseId,comments,survey-sentiment,design-issue,measurement-construct,implementation-Issue,clarification-of-entry,request-for-followup,topic-cost,topic-field-specific,topic-os-opinion,topic-sci-val
R_3j1hyhKeV9YiHrb,"I think that people are always for more transparency, but i fail to see any costs presented (costs of open access, relevance of replication, etc)",,,,,,,,,,
R_7jIkDzXsipRnSA9,I am referring to political philosophy in all my answers,,,,,general,,,,,
R_1TVALkJYGtgpXPP,"I found it difficult to estimate the distribution of opinions in my discipline. I have low confidence in my estimates, and I would not trust those numbers if I were in your shoes. 

Apart from that, good luck with your study!",positive,,,,uncertainty,,,,,
R_6DAVAhLai5Z99YY,Some of these questions are hard to answer because it might depend on the study being done,,,general,,,,,,,
R_5CIWNnWLVqBJc4z,I had a really hard time estimating the percentages per topic because honestly these conversations aren’t happening in my sociology circles,,,general,,,,,,,
R_1HsGQth3b8BJoNH,Good luck with your research!,positive,,,,,,,,,
R_3EQNjBgMOzmK8Ut,The numbers i put on the sliders are SWAG.  I have no idea what the numbers really are.,,,,,uncertainty,,,,,
R_6CsiN8IXDieghNp,"Pre-registration seems to benefit high-resource scholars a lot more. They can still preregister endlessly and only publish the preregistrations that ""worked.""",negative,,,,,,cost,,os,
R_5B5IgwV43ZXfI52,I am not sure this survey is relevant to me- it appears the questions are built primarily for those in STEM.,negative,conceptual-stem,,,,,,field,,
R_7dGEHpTz3wl2etm,I work with a facility that operates under a NSF grant so all of the data collected here ultimately becomes open access after 2 years,,,,,,,,,,
R_6YbN71DQbEuv2oz,"The numeric question for years as a researcher seems weird to me when there is no other identifying question for type of researcher. Also, the open access costs are unbelievable. It’s virtually never worth that money. Also, Neil degrasse Tyson famously said “in science when human behavior enters the equation things go nonlinear. That’s why physics is easy and sociology is hard.” The mores of science method as written are good for cultivating knowledge but largely unsuited for many of the questions I’m trying to answer. What’s more is that they arent practiced as written or credited.  And it’s really annoying putting up with hard-scientists who have not truly considered this problem talk about themselves as the only ones making new knowledge. Even if I conducted studies such that these data availability tools and registration were done, the hard-science interlocutor is not going to take it seriously as the cutting edge of our understanding on a topic. It’s a bar for gatekeeping a club for dweebs and not worth my time.",negative,,,,,,cost,,,
R_3qdqa9LR5lA4cQ6,"Respectfully, many of these questions seemed better suited to those in the hard sciences (or big-N quantitative scholars). Some of my answers to these questions, as a predominatly qualitative social scientist, may not precisely reflect the reality of my field, or my perception of it.",negative,conceptual-stem,general,,,,,field,,
R_3sadqT3MSyl7gtK,Thank you for organizing this survey and conducting this study. I find the questions very important and I look forward to hearing the results and interpretation. Keep up the good work!,positive,,,,,,,,,
R_3sdZ09SKLciBmcp,"Sociology is a strange field. In general, people are *theoretically* for replication, but it is well-known that you cannot get a job that way. The benefits of open access are purely via citation counts, but that is partially discounted by hiring committees. There are mixed opinions about open data because sociologists often have antiscientific ethical commitments.",,,,,,,,field,,
R_5i893EYe9iq0sgm,"It seems to me that this hyper-scientific approach to social and political ""facts"" (past and present) dissolves the value of political concepts, behavior, and evaluation. Finally, scientists tend to avoid clarity about political principles, which exposes them to capture by ""big"" actors in the socio-economic environment. We need a critical mind, not a neutralist one (in a domain that has no neutrality)",negative,,,,,,,,,sci-values
R_6pu1SjVlYnqw5Fv,"""Sociology"" as a whole may be a little idiosyncratic of a discipline for a survey of this sort. I'm not sure how useful these responses (mine and other sociologists) will be will be if the survey results are going to be aggregated with non social science disciplines.",,,general,,,,,,,
R_6SlzwZEi88ziibh,"I think there's a distinction between publishing replicating studies versus having data available for replication. In my field we are not rewarded for replication, but it is strongly advised that quantitative scholars should be prepared to make data available if requested for replication. Additionally, publishing code for quantitative work is normative so reviewers and editors can check for errors; publishing data is not.",,,,,,,,field,,
R_52daVKtWhVXqjOF,"In the question about what percentage of researchers in my field would respond a certain way, the last two items included prefilled numbers that were not zero. I'm not sure if this was intentional or a mistake.",,,,sliders,,,,,,
R_51iKGlGNvWJucW3,"It is weird how some of the proportion questions (where the number has to add up to 100) load pre-filled with numbers (ex: one of them had 19 for the most positive affirmation, and 81 for the next most positive). I don't know if this is a mistake or on purpose, but wanted to flag in case there's an issue with your software and it could bias your data!",,,,sliders,,,,,,
R_3GIC4E5PsDCtz8E,Difficult to enter numbers in this survey,,,,sliders,,,,,,
R_6E14qBZkFbCJVjI,"You don't distinguish between OA and Gold OA. I'm on board with green OA, but Gold OA is by far the most common form and it is awful.",,,general,,,,,,,
R_6PTZeeGqEo1txol,I wasn't sure what to put regarding method. I think most studies I've completed were heavily quant but I've published more of my qualitative work,,,,,uncertainty,,,,,
R_7es5Xg6wZa5gzEr,Hope I can get informed about this study results,positive,,,,,general,,,,
R_7K2Vvfz52kt0MPw,"""Science"" is a very broad term across may disciplines from physics to anthropology.  As someone who thinks a lot about science and scientific communication, I could not provide quality answer on many of the questions, because the methodologies and explained variances of explaining phenomena was just too encompassing.  I'm curious of your findings, as I imagine you will get findings more about the fields of science and disciplinary standards of ontology and epistemology.  I also think many of my answers reflect ""current"" structural dynamics of the discipline I practice, not the ideal of what scientific practice in my discipline 'should be'.  For example, I'm ALL for sharing data and open source, but that's not the institution of science we currently live in; advancement in the field, requires data hoarding and high impact/prestigious publishing.",positive,,general,,,general,,field,,
R_7pXiKKpox79VwKO,I didn't answer the double-barreled questions that you had included.,,,,double-barrelled,,,,,,
R_5ZcMY9xHwcpKSYh,Cool study!,positive,,,,,,,,,
R_5YPXEaLA0WFVbBy,There is a lot of nuance around these questions that you aren’t really capturing. I hope you do a follow up qualitative study,,,general,,,,,,,
R_1Cd4bYgcPj7UWXL,"I'm assessing the ratio for US political scientists.  If global assessment, then probably closer to 50-50",,,,,general,,,,,
R_52TxKWgJxma1zuF,"Open access costs are astronomical, and I feel like people can be judgemental about not publishing open access but not everybody can afford that. I think the idea of per-registration is fantastic, because it would prevent publication bias of only ""positive"" data, but I don't see many journals and I also don't see many PIs going for it (fear of getting scooped).",,,,,,,cost,,,
R_5eh9nw8GwfcfFTP,"In the physical sciences, quantitative methods are utilized to measure/analyze the laws of physics.  These methods are useless in the social sciences -- as there are no laws of social/political behavior.  This is why fraud is the norm in the ""quantitative"" social sciences.",,,,,,,,field,os,
R_6rGtYgGFPfhs5gD,I am appreciate open science and I wish that more qualitative researchers were apart of the conversation to make sure there are open science practices that make sense for qualitative research rather than trying to apply quantitative open science commitments to qualitative research after the fact.,,,,,,,,,,
R_6Iu8bdKnEyR3k6k,"There was a spelling mistake of ""very"" (I think ver/y) in one of the ""how does the field think about X topic"" sections. 
Replication studies/analyses can vary a lot (strict = run the same exact study / materials and theoretical = same underlying question but different task/model/statistical test). Given that spectrum it is a little unclear how to answer those questions.",,,general,general,,,,,,
R_17flPGd0SmzBZ5A,Survey format was difficult to complete via phone,,,,general,,,,,,
R_7e4pZwBCizY4w5r,"I 'strongly disagreed' that women and minorities are ""just as welcome as..."" men and White individuals in research environments, but the phrasing of the question likely subverts my meaning. In most university settings, the presence of White men is widely viewed as the problem to be solved.  I'm soundly middle aged.  The last time more men than women were enrolled in college was prior to my birth.  Those women, constituting the majority of their graduating classes, are now retirement aged.  The institutional bias against White men, particularly straight men, is explicit and unignorable.

The social sciences DOES have a very bad replication problem.  Several times I've unsuccessfully tried to replicate colleagues' findings with superior (larger N, better measurement, etc.).  Those studies are rarely published as result of a type-1 error.  To the contrary, they typically involve convoluted (moderated mediation, odd exclusionary criteria resulting in poor external validity, etc.), underpowered analyses, often with ill-suited data (often cross-sectional).  Reviewers should catch these things.  I believe the proliferation of open source journals has created pressure to overlook such methodological shortcomings.  A second source of pressure that is maliciously guiding the research environment is the translation of the neoliberal agenda (call it 'woke' if you like) through funding and editorial decisions, including the mob rule effect that has resulted in the withdraw of defensible empirical studies contradicting that neoliberal orthodoxy.",,,,,,,,field,,
R_5htnSXnllTRiFQ1,Open-science has largely not been open to co-building what it means with qualitative researchers. Open-science is instead put on qualitative researchers and they are expected to conform. Qualitative research has a long history of transparency that would be helpful for informing what open science is.,,,,,,,,,,
R_3RceFOBCKfAtxNT,"I'm not sure if this was done on purpose, but there were some ""loaded"" terms that would require definition before answering. Terms on the questions such as ""complete neutrality"", ""objective knowledge"", or ""true states"" could have easily made my answer switch, depending on how the survey defined the terms. 

An important omission regarding the practice of ""open access"" is how expensive it can be. The cheif reason (which was absent from the survey) of why my papers are not open access is because of the Article Processing Charges (APC) which can easily go into the $1000s of dollars.

",,,,general,,,,,,
R_3wM5sQrD6xx9ScF,please share the results when ready i'm curious to know more about this :),positive,,,,,general,,,,
R_7fOuea8c4NqP30i,"Oftentimes, data is confidential so researchers are not allowed to share them.",,,,,,,,,,
R_3Qoo4Td92wiZog2,"Some of the answers to your questions (e.g., about the Scientific Method) totally depend on natural vs. human/social sciences.",,,,,,,,,,
R_5tbo8lDmw6YXelr,"I work on the political economy of green development and just by virtue of the sort of questions considered, almost all studies have to used mixed methods",,,,,,,,field,,
R_5UhzSiVw74z3ZWV,"a lot of my answers could have had ""it depends on the context"" attached to them",,,,,uncertainty,,,,,
R_7zCN69jVM1MVVtF,A well constructed survey.,positive,,,,,,,,,
R_7mjAqQhnesVssc2,The sliders are awful. I have no idea how to quantify the number.,,,,sliders,,,,,,
R_3IWBu2eXGzYqldl,"Publishing Open Access is currently perpetuating problems. Only people with the money to pay for open publishing are the ones who are able to do it, meaning that they can again get more citations and acknowledgment for their work. Those of us who do not have money to publish Open Access get cited less and then get blamed for not making our work available. It's simply too expensive and I do not have any research funds.",,,,,,,cost,,os,
R_10POff8RocY4Zmd,"Slider questions / having R guess a distribution can be pretty fraught, these will be super noisy!",,,,general,,,,,,
R_5mqOV6v8W1XyBFf,"Some of your questions lacked an ""I don't know"" option.  So I just answered 50 %.",,,,don't know option,uncertainty,,,,,
R_5Kqd4z2tfzG0W4G,Good luck on this project!,positive,,,,,,,,,
R_7OSNZ98air9LCur,"Yes. You ask many ambiguous questions. In social sciences, women are now often a majority. Not so in other disciplines. Other questions you offer no option to say don't know. You ask about scientific method and objectivity. I write on that topic and the options are more complex than you allow for. So some of my answers may be misleading. Do i believe in objective truth? Yes. Do I think we ever approach our work value free? No. Do I think that prevents objectivity? Not necessarily.",negative,,general,,,,,,,
R_125E2SayR8ccrGx,"Scientific knowledge valued by academic journals and universities, and academia more generally, is but one of virtually unlimited arenas or circuits of knowledge production and consumption. Objectivity/Subjectivity, Qualitative/Quantitative, and Disciplinary divides serve no real purpose than to further distinguish ""scientifc knoweldge"" from other epistemoplogy, and in so doing it forges a sense of legitimacy for ""scientists"" in the Western world who are encoruaged to pursue their intellectual interests only via the mean of legitimzied and institionalized practices and approaches. The goal should be to breach beyond these socially constructed boundaries and pursue uplifting and amplifying approaches to knowledge production and consumption that have been devalued, deprioritized, and neglected in conventional understandings of ""scientific"" projects across academia.",,,,,,,,,os,
R_8NKmum56lHmGUIp,"love this project, well done!",positive,,,,,,,,,
R_3BY0NSUOTSoRatW,"I appreciate the research, I'd definitely recommend splitting along econ/business and other disciplines because my perception is that we are very different compared to other fields in STEM.",positive,,general,,,,,,,
R_6kmNZxaKnnwM0Db,"Data do not have a memory. They don't know what our a priori hypotheses are.  We have a responsibility to our participants, funders (often tax payers), and everyone who contributes to our research to make the best use of our data and figure out what it means -- first by testing our hypotheses, but then looking for patterns and potentially unpredicted associations.",,,,,,,,,os,
R_1do9wyZE6NuR1p9,"This is actually interesting! I do wonder though if the your test though may be calibrated to find results in favor of replication solely by not giving more room for expression about concepts surrounding reproducibility in favor of these list items and questions about disciplinary norms. Political science in particular is a field which has embraced in recent years machine learning and big data but there's a very solid minority of the field that does qualitative work, particularly varying forms of ethnography, and a lot of these debates have been contentious and bitter because of perceived lack of understanding of what it is qualitative researchers do, but the disciplinary ""norms"" have been in this direction even as an uneasy truce exists now.",positive,,general,,,,,field,,
R_3svPJeMnMe2peID,"I think an important consideration is who ends up doing the work involved with open science. It often falls on overworked/underpaid graduate students. 

Another consideration with open science is that it's unclear if the materials, data, etc. are actually being used or accessed by other researchers. It sometimes seems like a huge time investment just to get a badge attached to the paper, which feels more like virtue signaling than an actual commitment to transparency.",,,,,,,,,,
R_5Y4YSS8kDOqEUqa,"Things like preregistration and replication don’t apply to the methods of cultural anthropology, as I have been thought, because we are encouraged not to start with any definite hypothesis. This is why I don’t think it fits the scientific method and don’t think of myself as a scientist.",,,,,general,,,,,
R_7JKjRDrl4BuTW2B,"note that pre-registering is more of a norm for experimental, so my answers reflect distribution across that field and environmental economics",,,,,general,,,,,
R_3zYZuu3H4XmgV5u,Some of my guesses about the distribution of favorability of the various open science practices are really uninformed. I really don't know what people think about those - in my orbit people are very pro-open science but I have only worked at high-powered R1's. My guess is that things are different in R2's or other research environments.,,,,,general,,,,,
R_35kW324yZOEcp8t,a cool project,positive,,,,,,,,,
R_9j0gnJBJ4wSiZor,Good luck with the research!,positive,,,,,,,,,
R_15YD9Gtm5ls4Fxs,The sliders are quite cumbersome to use,,,,general,,,,,,
R_5OAFR5JAE6SNqXz,"Racism underlies much of the ""scientific"" work of white males who dominate much of social science research.",,,,,,,,,,sci-values
R_1erP72JdsgviF5i,"It's a bit hard to answer some of the questions about data sharing because data sharing is often partial for qualitative sociology due to concerns about privacy - we can't share entire transcripts because they often contain a lot of identifying information. I answered the data sharing question as ""100%"" for my own work but not sure if that was quite accurate.",,,general,,,,,,,
R_6kMKnaBndxeUC2h,I'm not sure what qualitative research would even look like in the context of financial research.,,,,,,,,field,,
R_79uZBNamiUZn8Zt,"There are likely big disciplinary differences in attitudes toward ""open science."" Some disciplines reward and value replication research; other disciplines place a very strong emphasis on basic, novel research. Maybe things are different now, but 10 years ago, replication research wasn't going to get you a faculty appointment--at least not in social and personality psychology.",,,,,,,,field,,
R_5eKuVPQzO6WKLXZ,"The whole survey seems to be designed for social scientists, and not friendly to researchers in humanities to answer.",negative,,inclusivity,,,,,,,
R_4prEilYstccH51x,"This study is of great interest to me as an anthropologist of scientific practice. Is there a newsletter or list that I can join to get updates from this project? I am currently doing something a bit similar in my fieldsite of the Philippines, but with more ethnographic methods. Thanks!",positive,,,,,general,,,,
R_6kNvhULb6TECOvz,Clinical trials are quite often published in registries ahead of time by my colleagues; many also publish methods ahead but the outlets are few.  I'm in favor of open access but we don't ask have the money for this.  Some open access journals are low quality while others are higher quality.   Your little bars were way to hard to work with in this survey.,,,,sliders,,,,field,,
R_6HUHgS8ozQgpTBD,"The following questions were problematic to me: 

(1) The scientific community is mostly dominated by white men and is often unfriendly to minority people (This is a double-barreled question and thus difficult to answer if you have one answer for one clause and a different answer for the other clause). 

(2) The scientific community is mostly dominated by men and is often unfriendly to women (This is a double-barreled question and thus difficult to answer if you have one answer for one clause and a different answer for the other clause). 

In your estimation, what percentage of researchers across your discipline have shared data? (This question is difficult to answer because the number changes drastically if it’s scholars who have shared data from a single project/paper vs. those who share routinely).",,,,double-barrelled,,,,,,
R_7RKRU6k8P7O6TAJ,"Basically, everyone I know is just trying to get tenure so that means doing the bare minimum or executing your work to publish many studies quickly. To that end, anything that can potentially slow that process doesn't get done (i.e. publish in open access, share data, etc.) Where you publish is equally important as what you publish.",,,,,,,,field,,
R_6LtFPPprOZYBhyp,"I do not hold a PhD, but I have published my research. Not sure whether I qualify for this study - sorry if I missed an indication of needing a PhD to participate.",,,,,out-of-sample,,,,,
R_7QkdIpj4kFEkkqR,"Lovely survey, I mentally noted some things to consider improving my surveys",positive,,,,,,,,,
R_3eQNS98KvDKgqHC,Hope this helped :),positive,,,,,,,,,
R_3FhnL0KmGRJtjaH,"I'm not crazy about the design of the survey, which lacks nuance. I know that's hard to provide in survey design. If I were doing this survey, I would identify the discipline first, and then branch off to questions tailored for the discipline, including more open ended responses that I could analysis using qualitative tools. But I know that would be more difficult.",negative,,inclusivity,,,,,,,
R_6MKc5wCbm5nknGB,"There is a gap in research methods lately. When you are in grad/doctoral studies, no one teaches you how to conduct research anymore; it is expected that you already have all the necessary skills and ground knowledge. However, even knowing the skills the application is different, and no professor so far has taken the time to carefully explain how to write academically, how to write a grant proposal, how to analyze data appropriately. It's mostly about how much you are producing and how many conferences you are attending, rather than the quality of the work. As a first-generation and international student, much of my work is independent, and I struggle to get it done because I do not have the support to do so.",,,,,,,,field,,sci-values
R_7VHPaFnnTngoYVP,thanks!,positive,,,,,,,,,
R_1DNa21F4nem69De,"I've seen more conversation about these practices (pre-registration and data sharing) for quantitative projects and data. I've heard less about them for qualitative projects and data. When you conduct qualitative research with marginalized populations (especially those openly targeted and maligned by the US government), sharing the data or even getting the project on people's radar beforehand feels like it could not only jeopardize the research but possibly endanger the participants. Replication also feels less relevant to qual researchers who do not aspire to objectivity and recognize that who we are as people shapes the research we produce (so naturally, someone else would ""find"" something different).",,,,,,,,,os,
R_7tHimJ1fDKsqV57,"Interesting study! I don't think of myself as down on open science or anything. I'm just skeptical that these practices actually prevent anyone from being biased in their work. If anything I'd be in favor of doing only preprints. As I said, in my experience reviewers are incentivized to find fault with studies, and it kind of just gets in the way. The idea of preregistering is nice but again, we're not going to just give up on a project because we exhausted our preregistered analyses. And open data is fine, but unless it's a carefully curated data set meant for people to use, it's almost always going to be too difficult to be worth it.",positive,,,,,,,field,,
R_72SmXDkLjmENkBv,Nothing.,neutral,,,,,,,,,
R_3VCHaoA14v4TIi4,traditional (American/Public Admin) political science is not very affectionate towards new ideas or often qualitative work and is still the majority in the field.,,,,,,,,field,,
R_7aw4iVBfMlfs36x,qualitative data can build off quantitative data and reinforce each other as well as serve as a reliability check,,,,,,,,field,,
R_1V5zQFLb93jCJ21,"The question about if scientists who advocate for something can do good research on that topic is a little silly. Most scientists I know who ""advocate"" for something do it because their research leads them to a conclusion about a best practice- but your question sort of implies that scientists pick something to advocate for just because - when really those decisions come from our work.",,conceptual-general,,,,,,,,
R_58TaSQGzAZSLUKF,"People fail to make the distinction between values internal to science and values external to science.  Values internal to science, such as decisions about what theory to use, what method to use, how we measure our variables, etc. are relatively value free in the sense that these should be made known to the audience and can be debated if they are the best or not.  Values external to science are the moralistic values that we adopt such as promoting a given political cause.  These are deeply affected by our identities and position within the social structure and cannot be separated from those.  These should be kept out of the scientific discussion as they are unscientific.  But, just because I hold progressive values and want to promote equality, that does not mean I cannot do science objectively if I am transparent about what values I have used internal to science and do not publicize my values external to science.",,,,,,,,,,sci-values
R_3LiBvHNUpuXMo5Q,Good luck with the study!,positive,,,,,,,,,
R_5DqjNPp4sEwNbgd,"I study and have published in the sociology of knowledge and methodology.  I'm curious to see the results of this survey, of course, but I also think that surveys about attitudes and behavior towards ""open science"" are going to be very difficult to do, not least because operationalizing ""the scientific method"" across disciplines, for instance, will be almost impossible.",negative,,inclusivity,,,,,,,
R_9CSTlWqaNr5qSCB,Very important survey! Looking forward to the research output.,positive,,,,,general,,,,
R_1QKKV2gpcq3T3wd,"A major barrier to preregistration is bureaucratic structure and bodies. Outside academia there is very little structure for preregistration (such as the IRB), and as more researchers transition to the private sector this becomes a greater concern.",,,,,,,,field,,
R_3P1zcnfTOlvYERM,thank you! good luck with your research!,positive,,,,,,,,,
R_1ok53SKSyiSFGY9,Hard sciences are different from social sciences and human sciences.,,,,,,,,field,,
R_8SvjWx79GM4Lna2,"I am only a masters student so I have limited knowledge on most of this, but hopefully my responses help.",,,,,out-of-sample,,,,,
R_3ltc1mghWGZDE26,Anthropology is a broad field: from linguistics to biological to cultural to archaeology. It's hard to make generalizations about such different sub-fields,,,,,,,,field,,
R_3PC5BR1BWLlIHBX,"Regarding the last question, it varies from department to department. Some are heavily quantitative, some are heavily qualitative (like mine), but there are also theory departments and more artsy ones.",,,,,,,,field,,
R_1KuVSySBFqzWDS1,"Some of the questions were double-barrelled, making them difficult to answer. Would appreciate less mental math.",,,,double-barrelled,,,,,,
R_2MrhIxCMzTqCim1,good luck to you,positive,,,,,,,,,
R_5FyV2tuWoYqk1Uj,Excited to learn your results!,positive,,,,,,,,,
R_5ghb4Zdb42Op86J,Just want to reiterate my plea that the better funded universities do not try to influence policy in a way that would make it impossible for the rest of us to access the top tier journals. 80% of my colleagues are not grant funded and our university is poorly funded by the state and under attack from the legislature.,,,,,,,cost,,,
R_7ISKTnmY5IYLBGt,Sounds like an interesting study. I am firmly planted in qualitative research but respect. The science is a great deal. I hope I helped,positive,,,,,,,,,
R_7EulVaaLZTHnhXH,"even though i just stated i was a quantitative researcher I would be very curious to see some qualitative work alongside this! I think open science/data practices are exceptionally nuanced and qualitative work might help point our attention to where key stuck points are in pushing these agendas forward. I for one feel like my ""true"" opinions cant quite be captured here. Good luck!",positive,,,,,,,field,,
R_8iWQ35yT94WUSQ1,This research did not put enough thought into actually providing defensible reasons why someone would not want replication or data sharing everywhere every time.,negative,conceptual-general,,,,,,,,
R_7i3PG2vcBoH4S3V,Thank you for all the work that you do!,positive,,,,,,,,,
R_6YRrie4fJu5U2ZP,"understanding ""objective"" throughout the survey to mean ""directly/indirectly observed"" rather than the colloquial understanding, and certainly not ""true"" by the definition provided early in the survey

super interesting concept! hope to see it post-publication!",positive,,,,general,,,,,
R_5Jbn1gBTrFuoSPv,For social scientists conducting non-experimental research the imposition of causal inference epistemologies is suffocating!!,,,,,,,,,os,
R_6bUFqlLLMD6j1GI,Thank you for your work! Best wishes on this important project.,positive,,,,,,,,,
R_3RxqPpYHyRozPji,thank you for the opportunity to participate,positive,,,,,,,,,
R_7ATL8xUeqoM2rbb,"I am a political theorist, so a lot of the questions here are tough for me to answer. Maybe that says something in itself! Political Science is a strange home for Political Theory in many ways since the positivist shift in the twentieth century.",,,,,general,,,field,,
R_7xXzsKpC6Ci3eCs,"It is common for papers in my field to include a note to the effect of ""data available from the authors on request,"" so it might be good to include that as an option in the ""data sharing"" section of the survey.",,,,,,,,,,
R_5P7NN6q3qpPfKML,Not convinced this study will be valuable to anyone.,negative,,,,,,,,,
R_1AMQufvaMMjuKKA,"Some of the survey items are double barreled which made them difficult to answer. Otherwise, great work on this questionnaire design. Good luck with your project! :)",positive,,,double-barrelled,,,,,,
R_3AkFVnCwLGtiU3T,The majority of these questions had nothing to do with my research.,negative,,,,,,,,,
R_7N99zYBcWk58pfG,"I generally support open access and transparent research designs (e.g., preregistration), but some of these models of science don't travel neatly beyond the kind of neo-positivist quantitative work that is common in my discipline but does not define it entirely.",,,,,,,,,os,
