ResponseId,comments,survey-sentiment,design-issue,measurement-construct,implementation-Issue,clarification-of-entry,request-for-followup,topic-cost,topic-field-specific,topic-os-opinion,topic-sci-val
R_5kRAA2VsPcVPHOD,"The preceding question about Qual/Quant breakdown is hard to answer as written. Do you mean research in terms of terms of publications and output? Or do you mean research in terms of active work by researchers? Publications in my field tilt Quant, but disproportionately so given the nature of Qualitative work.",,,general,,,,,,,
R_5YildGgPrjV9mE8,Thank you!,positive,,,,,,,,,
R_3BsoYdB9JGJpWJX,A lot of recent work in top journal in economics use non-public data. It is a problem.,,,,,,,,,os,
R_6JLPEdu1IfKxDiq,"I find these questions to overall be quite abstract and difficult to answer--my answers to many of these questions would probably be highly volatile if you asked them multiple times.  I don't say this to discredit your results, but just a heads up.",,,,,uncertainty,,,,,
R_6PG0Mgh1DWHf6GD,"To be clear, I am a graduate student. I do not yet have a PhD. I am fairly aware of Political Science practices, but less so than a professor-level survey respondent.",,,,,out-of-sample,,,,,
R_6AZqo8wscBWS0do,"For most of the survey questions, the actual answer would be something like ""it depends"" or ""I'd need to have better context or know your definition before actually answering""",,,,general,uncertainty,,,,,
R_39msHY65m9w16Uh,"I would love to incorporate more qualitative work into my practice as I believe it is very important to telling a complete story on the effects of policies on populations. As I am a student, it is hard to incorporate this work because of the time commitment; however, post-grad I am interested in working for the a think tank where I hope to have greater opportunities to interact with folks with lived experience. This has the potential to bolster quantitative findings as well as provide alternative views that the raw data cannot show. This is important in the public policy sphere in order to truly have ""data driven"" findings that encompass all kinds of data and resources.",,,,,,,,field,,
R_5QckDlJYyT2RWDv,"My only thought was about open access -- some journals do make their articles available online, but you either need a subscription or your library needs to subscribe.  I assume that should NOT be included in responses here.  I don't know that there are many PEER-REVIEWED open access in my field.  If there were, I'd be far more likely to send them my work.  The peer-reviewed part is really the only reason I wouldn't publish in an open-access journal; if it were peer-reviewed, I'd do it.",,,,,general,,,,,
R_5e8aIxj02RICHc6,"Whether or not cultural anthropology is a science is controversial. It is generally accepted within the field that ethnographic studies are functionally un-replicable on account of the fact that the researcher is also the basic data-gathering instrument, adding irreducible personality factors to the research. Moreover the cultural situations being researched change over historical time, including in response to the actions of previous ethnographers. Occasionally, anthropologists have gone to the same places and returned with different results; these are generally understood as producing more information about the same 'cultural situation' rather than refuting prior work, or evidence that the 'cultural situation' has changed over time. Most anthropologists would not regard these 'returns' as replication studies. Although cultural anthropologists do have theories that they take with them when they go out to do field research, these rarely take the form of testable hypotheses about which the research will return a true/false evaluation. Therefore preregistration is generally regarded as irrelevant to anthropologists. Data sharing among cultural anthropologists is complicated and controversial; since anthropologists are their own research instrument, data (fieldnotes) tend to take memoiristic forms that would do little to aid other researchers in the same field while creating ethical issues re. the identification of research subjects. This is especially the case where research subjects are involved in politically, legally, or ethically sensitive activities, which is not uncommon. However, there have been modest movements for anthropologists to share more of their fieldnotes.",,,,,,,,field,,
R_7vGsGyT5bS7FKKd,"I don't think scientific community is dominated by ""White Men"", but that doesn't mean it is not dominated.",,,,,general,,,,,
R_7oLzXCbc4XQQKFR,"I think preregistration is always important for experimental work and is often important for quasi-experimental work. My work is generally not very causal and does not emphasize hypothesis testing, so I have not bothered to preregister it. It's an even more awkward fit for qualitative data and for computational text analysis, which are almost always inductive rather than deductive.",,,,,general,,,,,
R_1O8G9vCw5Y4zvqN,"I came to open science late in my career. I'm enthusiastic--I edited a special issue on the topic of registered reports and replications in the leading journal in my field--but I find that, in general, it's younger/earlier career folks who support this movement more than people in my generation.",,,,,,,,field,,
R_7Dfwde4K10iE8ud,I do not have confidence in knowing broad trends in my field as a whole. My estimates are more reflective of my advisors and other graduate students in my department.,,,,,uncertainty,,,,,
R_590HBDCASxsaqul,"If you run this survey again, I would recommend adjusting several of these questions -- as someone who is in the process of conducting experimental research, I don't have any publications yet and it was sometimes unclear whether I should answer that I had done certain practices or not. Also, it's a lot of cognitive effort to ask respondents to do the math of adding to 100 and might introduce bias into your measures.",,,,sliders,,,,,,
R_3F39imE4jlzS1Kh,Thanks,positive,,,,,,,,,
R_5mrbOy4Pzmf4KTA,N/A,neutral,,,,,,,,,
R_1QtthaOo1YXyuuw,good luck,positive,,,,,,,,,
R_5OBFiUoYr4BhEsx,"Good luck with your postdoc, Hannah! :)",positive,,,,,,,,,
R_6BRRNXCadzxxgKO,"I'm in two departments. Primary is sociology, and my subspeciality (med soc) is more prone to using secondary datasets than I think sociology is broadly. Regarding sharing ethnographic data, I appreciate that there are ethical concerns for participant privacy and different methodological norms for sharing data, which exist for a reason. Regarding questions about objectivity, it would be nice to include a definition of objectivity. I was battling between a positivist perspective more common in the bio sciences given my background in bio sciences and the material history of the development of sociology. For example, can fields (soc and econ) captured by corporate interests produce objective scholarship.",,,general,,general,,,,,
R_1DUYPtHmPyOyGw2,"I tried to translate this for non-social sciences. In my field of focus, the qual-quant debate dichotomy is a well criticized false dichotomy and signals a clear misunderstanding of data value and inferential potential.",,conceptual-general,,,,,,,,
R_30waBEELNJrQe6d,"Some of the questions I didn't respond to because I honestly have know idea. I am fortunate to be at an institution that is glad when we do scholarship and publish, and are not too concerned about what or how we do it. I know this is not the case everywhere. I intentionally chose to work at a University that is NOT a Research 1 because teaching is much more important and interesting to me. Hope my input was helpful! Good luck on your study.",,,,,general,,,,,
R_6QilKFjKIHnVeQ3,"some of your items have 2 parts to them, which is called ""double barreled"" For example the item that said science is male dominated and unwelcoming to women-- I think it's male dominated but not as unwelcoming to women as it was years ago. There's not a way for me to answer that captures this. If an item has 2 things in it, you should break it into 2 items to avoid this problem. For items at the end, I have no idea what the percentages are for what others in my field think so I just guessed. Good luck with your research!",,,,double-barrelled,,,,,,
R_8ymctGFVzIXauni,"Some nuances that affected my answers but not be quantified: (1) Data sharing regarding qualitative data in my discipline (political science) is extremely complicated, as simple anonymity is often not sufficient for ethical sharing. The ethically correct amount of qualitative data to share can validly be ""at the researcher's discretion and at the reviewer's tolerance."" (2) While I agree that pre-registration is desirable for experimental work -- both for science as science and science as a profession, I would argue that it is difficult to articulate a case for expanding pre-registration to other realms in my discipline. By design, graduate students in social sciences are asked to shoulder the vast majority of the administrative burden of their research independently. Today, this already constitutes an unacceptable and extremely harmful waste of time. Any changes proposed in the name of ""transparency"" and ""replicability"" should be weighed against the uneven effects, across both resource levels and generational cohorts. (3) Open-access, in its current structural form, is a welfare program for rentier corporations with some of the highest profit margins in the world. Unwritten directly and indirectly with a combination of public funds and attrition on researcher time and resources.",,,,,,,cost,,,
R_5nv2eKxpkBUOKo5,"The current system of publishing that relies on so much free labor needs to change. However, open access seems to have a reputation for “pay to play.”",,,,,,,,,os,
R_7VC5gCzLLpMtPyc,NONE,neutral,,,,,,,,,
R_5vz5SqtDwEzClUJ,Research is good. It pinpoints a problem.,positive,,,,,,,,,
R_7QzXdbWnzKU65gc,"Is this survey based on the US/Western context? However, think about the Middle East, most of the STEM researchers/students there are female. In Latin America, it is also more gender balanced than that of the US.",,sampling: geography,,,,,,,,
R_6YGE8O5xPxzbBBf,"People who push for pre-registration, open access, etc. are very preachy and quite noisy, which makes them seem more than they actually are. And this is the most likely group to answer a survey like this one, so there may be a decent selection problem.",,sampling: non-response-bias,,,,,,,os,
R_1drGrWY3r00BAAN,"cool study, looking forward to the results and am interested in the context.",positive,,,,,,,,,
R_3s6N9w705YysMAm,You are heavily excluding mixed methods scholars from this portion of the survey by forcing a binary.,,,inclusivity,,,,,,,
R_8OvQdtoq51qPLxV,"I think some of the items about pre-registration, etc. are not quite as relevant to disciplines where a minority of people run experimental studies.",,,,,,,,field,,
R_1v6vrs09pIq3PyG,"This is a terribly designed survey! I don't understand the  purpose of the leading questions in the first section, and the scales  about what I think other people  think are absurd.",negative,,general,,,,,,,
R_8b1PhjVLDDfTX6q,these are tricky questions. It is possible for science to produce facts but context is essential.,,,,,,,,,,
R_3mA55s1TWkSA96V,"I was confused by the phrasing of a couple questions which take the form:
“Member of group X are just as welcome as members of group Y.”

My problem is the ambiguity in responses.
If I think members of group X are more welcome or less welcome, I should pick disagree. I am afraid you will read that as I perceive members of group X are less welcome.",,,,general,,,,,,
R_1PdKhfibpQeejRn,"I will just say-- in response to the set of questions at the end of each section asking me to estimate the proportion of people in my field who feel a certain way about pre-registration, sharing data, open access, etc.-- I believe there is a difference in people's *opinions* and their *practices* with respect to the topic, i.e. people may overwhelmingly agree with and support study pre-registration in theory, but a smaller amount actually do this in practice. In other words, I believe that some people in the field do not walk the walk that they talk.",,,,,,,,,,
R_6eQgSnaUUP1h4nD,"Some questions are double-barreled. For example, I don't think my field is male-dominated, but I do think it's unfriendly to women anyway because many of the gatekeepers are men. I would have said not male-dominated, but unfriendly to women.",,,,general,,,,,,
R_5ey1gbfdzDDBnhh,"Probably would be easier for people if you had the totals on all the ""add up to 100"" questions instead of just the final one.",,,,sliders,,,,,,
R_1hRPUcz3xJSuwmy,"I think the term Open Access encompasses a lot, ranging from predatory publishing, low-quality but non predatory (Sage Open), high quality-open access journals, and high quality journals where open access is possible but at a price. Arrangements where my university has negotiated open access agreements with reputable publishers are the best in my view.",,,,,,,,,,
R_7ZQ5Lh7C0d1YBRg,"I do not have an informed sense of the distribution of opinions, so many of those are pure guesses.",,,,,general,,,,,
R_62VcfQ2hm4X9iHC,"Some of these were hard to answer as I work at the intersection of archaeology and biological anthropology (genetics). Data practices in genetics and biology have strongly influenced attitudes in anthropological genetics, so that data sharing and use of preprint servers are standard practice. These are much less common in archaeology.",,,,,uncertainty,,,field,,
R_8HSO9kl7lhrFTzE,"I was unsure about the gender proportions in my field and to what minorities are welcomed. In my experience (observations), most of researchers are female and minorities are welcomed. However, I believe a saw data saying otherwise. 

I found the questions about how objective/subjective research is to be ambiguous. They were not easy to answer.",,,,,uncertainty,,,,,
R_51Fb3HAa73HnoAm,"Some of the questions didn't have the answer I would put. I would answer something like ""depend"" since I am a foreign scholar in the US, I have two or sometimes three contexts to report.",,,general,,uncertainty,,,,,
R_7D6cqD0nzPqJ3Lg,"I think this study would benefit from questions focused on race/racialization as well, and more direct engagement with non-US researchers and models.",,conceptual-race,,,,,,,,
R_6IQ41Y8I2WtfHSt,"Thank you for conducting this survey, I do think that science in general, especially here in the US right now needs to be focused on how to support non-white, non-male faculty members and graduate students. There has been so much data coming out for years about how women and gender non-conforming folks leave academics because of the terrible treatment at universities with old men who haven't learned they can't be racist or sexist anymore, favoring their male students, something that commonly happened when I was in school.",,,,,,,,,,sci-values
R_6MG4o9muBTtk0gx,"I'm a huge advocate for Open Access, but the fees that some journals require for researchers to publish an open access article can be in the thousands, which is an extreme burden for researchers (esp. new ones) with limited resources, such as myself. Also, the instructions on how to share your data easily and while still maintaining participant confidentiality is underdeveloped.",,,,,,,cost,,,
R_6lLeAhzrUAl3Ydv,"I finished your survey. As a PhD student in sociology I honestly do not have a lot of experience with preregistration or data replication, I also do not have a good read on how my field as a whole views these topics - maybe that is a data point for you. I left a few questions blank because I wasn't sure how to respond. 

Best of luck with your research! ",,,,,uncertainty,,,,,
R_13a37fMMdLtwRly,"Obviously, it's very different to share quant data from ethnographic and interview data especially given IRBs. The survey design made it very difficult to really show how these differences matter",,,inclusivity,,,,,field,,
R_1QVv2E6s0BtfeQ9,Many journals will not accept ms. submissions of work that has already been shared on the Internet. Promotion committees want to see peer-reviewed articles.,,,,,,,,field,,
R_11ilxFymOiyxdZI,I had a hard time guessing what other people in my discipline believe about these questions! They don't come up in regular conversations that I am having with others in my field.,,,,,uncertainty,,,,,
R_6yqnzkPECU5ifTQ,"The attitudinal questions about being for or against data sharing, pre-registration, and replication assume that there is a single set of norms that should govern all types of research. One can be highly supportive of these practices for quantitative work, and agnostic or opposed to them in qualitative work at the same time. I expect that asking without specifying the type of research will skew your answers neutral, as people probably have different answers for different disciplines and methods.",,,inclusivity,,,,,,,
R_1d1pu6as3FNcRa1,"Archaeology had experienced decades of development. I answered this question in 2026 so it runs like a 3:2 of Qualitative vs. Quantitative. But in the very beginning, it is nearly 1:0.",,,,,general,,,field,,
R_6QJkGsVCtXVxOrv,"I hope this helps some. I’m an archaeologist so some of this was a little difficult to fit in, at least as I understood some of the questions. Also, really just kicking off my efforts at independent research rather than teching.",,,,,general,,,field,,
R_5QzdKFkvm415T54,"The world is becoming anti-science because people do not understand the qualitative difference between  scientific methods where the ability to falsify claims is vital and ad hoc methods where there is ""proof by assertion"" and no attempt to actively falsify what you believe.",,,,,,,,,,sci-values
R_6IWcHtEtklYfAvH,Good luck with your study!,positive,,,,,,,,,
R_4otdPJ6tDDF5YEu,I don't know the answer to some of the questions.,,,,,uncertainty,,,,,
R_5NggeCigaHRInj4,"The question regarding percentages is difficult to answer without looking up the actual numbers. I also see some of the answers to the questions as generalizing the behavior of scholars, and these were also difficult to respond to.",,,,,uncertainty,,,,,
R_5gcrJoHTr7KWfR4,"This survey has really weird question design, and the lack of opportunity for nuance in answering several of the questions almost made me stop filling it out multiple times. The “hard-core positivism or not” phrasing of many of the questions suggests that this study may under-estimate the degree to which scientists (esp social scientists like me) are committed to truth/realism, but are suspicious of the pure hypothetico-deductive model. I suspect you’ll have trouble sorting out the pragmatists, critical realists, and others who value humility about scientific knowledge from the hard core postmodernists.",negative,,inclusivity,,,,,,,
R_5hZ7PNEBn1K5JBJ,"Regarding open access to publications, I am under the impression that the social science community seeks to publish in peer reviewed journals, but does not care if the journals are read outside the social science community.  Rather than publishing to better humanity, such as informing policymakers, the goal is for consumption by the academic community to further one's own career.",,,,,,,,field,,
R_13TXRXqPanaBYFV,"Data analytics is often a ""helper"" discipline to other research ventures",,,,,,,,field,,
R_3MDRZI7LTo19vi9,"The initial questions about 'science' felt absurd to answer, as if there was one kind of career in science. I would have been happy to answer the questions for careers in my field of sociology, but I didn't know how to answer such questions for scientific careers in general. Some fields have a majority of women, and some remain closed to women. How should I answer a question when both are scientific careers or involve Science?",negative,,inclusivity,,uncertainty,,,,,
R_7OJBauiiceyM4RH,some questions do not apply to social science,,,inclusivity,,,,,,,
R_55FpSkvAxm7tSGn,"Asking people to fill in numbers in 5 boxes to add to 100 is a challenging mental task, especially on a phone. Additionally, the 0/10/20//100 marks are implying folks should
anchor to the 10’s digits.",,,,sliders,,,,,,
R_5zs2geNhGsEmUP7,This survey seems to be poorly constructed in terms of focus and experience in science,negative,,general,,,,,,,
R_3MRotPPEf5bfxfj,I am both a sociologist and a criminologist.  I answered the question immediately above for sociology. Criminology is much more heavily quantitative.  I'd estimate over 80%.,,,,,general,,,,,
R_1GAIhuj4B2LijHK,1. Many survey questions are poorly worded. 2. Movable scales are silly. Just ask people to put numbers.,,,,sliders; wording,,,,,,
R_51XyargxGwpwH0F,Open research ia great,,,,,,,,,os,
R_6Ii8zkU083Dgo0y,"I do quantitative as well, but in my field, I have been frustrated by the need to adapt my results to a theory. For example, a recent quantitative study (a survey) has not yet been published because it does not employ one of the most common theories; I feel that reviewers have never seen it and find it ""weird."" I archived it and looked for Feyerabend's ""Against Method"" :) But anyway, so far, I understand that there is a standard, rigid approach to writing papers that cannot be changed.",,,,,,,,field,,
R_11RDWBK8plYe7jy,"The economics discipline is an absolute mess, worried more about using clever tools than solving real-world problems. No wonder we continue to be white-male dominated. :(",,,,,,,,field,,
R_6QWauK6XNoq1eJV,"I am an archeologist which is often not considered a scientist, but I consider myself a scientist. Due to the nature of archeology I understand I can never know the full “truth” or all of the facts. For us this is because the archeological record is imperfect and incomplete, so we are always working from only a small part of a dataset. I am also an anthropologist first, and so acknowledge that truth is hard to define and often contextual, dependent on cultural norms and historical circumstance. I am in full support of data sharing in my field, but there are also unique barriers. For example, keeping Indigenous North American archeological sites safe often requires keeping the exact locations a secret and not publishing data sets which reference their coordinates. I think open science is incredibly important but we also have to assume that some people who access that information may not have the best intentions. It will be important to protect vulnerable or marginalized communities in the ways we share data and scientific findings and make sure the communities the research affects have a say in how and where the findings are made known.",,,,,,,,field,,
R_6XisZDvXMZ2oc4F,Thanks for doing a very clear and precise survey!,positive,,,,,,,,,
R_5pxw3EvIZX2ksHi,"Questions about my discipline were difficult to respond to, since anthropology is a divided field, and as a legal anthropologist, I often identify closer with socio-legal studies rather than with other branches of anthropology",,,,,uncertainty,,,field,,
R_6zipRssNPAF8tr4,"I answered as if my discipline is sociocultural anthropology, not 4-field anthropology.",,,,,general,,,,,
R_6peoOrWlKACi68V,Thanks!,positive,,,,,,,,,
R_1qe1vHH0c1l1vVs,No comment,neutral,,,,,,,,,
R_3UgAbG7q0wS3Y1V,"It seems a bit silly to ask people to make guesses about opinions held by others on matters that receive little public comment in my discipline. I do believe replication is profoundly important in scientific disciplines but it is not done in my discipline, nor have I ever heard colleagues discuss it.",,,general,,,,,,,
R_7eyJnqNPqmWtkfN,I am not a hardcore scientist.,,,,,general,,,,,
R_15vhKj20M7HnZxp,"The questions on open-source were hard to answer.  In Economics, the vast majority of researchers post working papers before publication (at Arxiv, NBER, etc) but publish in non-open source journals.  Yet most researchers then keep their working papers in circulation and/or post PDFs of their papers often in open contravention to the closed-source journals (without much consequence).    In other words, most researchers favor and promote open-access via working papers but the more prestigious journals are still mostly not-open source.",,,general,,general,,,field,,
R_3hhhUkIXcfMUzoV,not all questions relevant to me,negative,,,,,,,,,
R_3eraMlMPpz0kM1H,Hope your research goes well! :),positive,,,,,,,,,
R_5aET0Ls37ejxZbv,"Regarding the questions about preregistration, the only similar procedure in Sociology of which I am aware, is going through Institutional Review Board (IRB) approval.  While I agree with IRB requirement in principle, my experience was that the members of the IRB often did not have a sufficient understanding of ""scientific research"" to make rational decisions.",,,,,general,,,,,
R_67DqQVAOM1cMe9b,"I would take most of my own responses here with many grains of salt, since questionnaire questions do not allow me to clearly differentiate the meanings I would ascribe to keywords as ""objectivity"", ""science"" etc.",,,,,uncertainty,,,,,
R_677k4LbfXdkEyar,Thank you for the opportunity,positive,,,,,,,,,
R_3iaoXLs1GB6GJyN,Behavioral econ,,,,,general,,,,,
R_5GCdNzM5MUS5qBK,"Once again speaking as an anthropologist, I was not sure how to describe the proportions of researcher attitudes precisely because there are such divergent perspectives. I do agree that our personal positionality does influence our research interests and likely influences how we interpret our results. However I do not think this means that there is no worth in pursuing objectivity, because in the attempt to be objective we can still identify and work to mitigate potential biases. That being said, I am more skeptical of those who have a financial interest (e.g., pharmaceutical research funded in whole or part by a particular drug manufacturer). In anthropology we curate and maintain community relationships which in my opinion *should* influence our work to be more in line with what interests or concerns the community in question has, rather than the researcher imposing their own ""objective"" viewpoint on the work. So I'm not sure how to personally square that, in that I am comfortable with self-reporting biases or relationships towards community members, which would not set off alarm bells as I read the research, versus financial backing, which in my opinion demonstrably reduces the reliability of research results.",,,general,,,,,,,
R_6q5kB2ejbHK3Pl7,I question some of the questions in the survey.  I'm not sure I can judge how others in my field perceive things.,,,general,,,,,,,
R_75RBIpUlNqk4sGV,Most Anthropology research in my area contains mixed methods and qualitative and quantitative analysis.,,,,,general,,,,,
R_1xu1nLyqBaPeGpr,I cannot easily answer the questions to estimate the proportions of people who are in agreement or disagreement with an approach. I don't know if you'll get meaningful results there. But good luck!,,,general,,,,,,,
R_1OVPvg2hiXEpKQw,"Replications are only possible for the kind of field research I do if you get access to another organization -- this is difficult (but not impossible, I have done it) but much more difficult than running another Prolific study. The time pressures on junior faculty are such that this is usually not a good use of their time.",,,,,general,,,,os,
R_1q1YrKtsDrxXLms,Pre-registration in economics is the norm for RCT studies but it's not interpreted properly,,,,,,,,,,
R_3V9deSadp8TiHKX,"When asked anything about my discipline, it's not clear what to consider to be part of my discipline . Answers might change dramatically if we consider all schools in the world or if we consider top 100-200 schools. I don't interact at all with research produced in low quality journals, which are a majority of all published work. I've considered as my discipline roughly top 200-300 schools.",,,,,general,,,,,
R_7wiUbCVl5merE6s,"I think it would have been helpful to give more background information on this survey.  When you ask questions about scientists are you referring to the hard sciences such as chemistry, physics, enginereing, and the like.  Are researchers in the humanities, psychology, business and other softer disciplines considered scientists?  Gender bias may be greater in the hard sciences vs. other disciplines.  I am a marketing professor and I see little gender bias in our discipline as many of the leading publishers and scholars are women.",,,,general,,,,,,
R_53EDin8kHI5YPyJ,My race (Black) is deeply important to my research,,conceptual-race,,,,,,,,
R_7ob6um3if4qdVRT,"Concerns around open access is largely around cost. If open access were free, I doubt anyone would object.",,,,,,,cost,,os,
R_7MDsPUvhDlvFU7Y,"Though I enjoy curiosity-driven research projects and using both qualitative and quantitative approaches to develop and test social science models, I have become somewhat jaded about publishing. The ease of AI summaries means fewer students (and researchers) read and engage with academic articles. Further, when I review, I've noticed increased careless use of AI in generating text within submitted articles. I have less motivation to spend 200+ hours on a manuscript to prepare it for a top journal. I took a teaching position that allows me to creative research freedom while teaching and mentoring students. I can research what and when I want with little pressure from my department. I had a conversation with another faculty over whether we should conduct a larger series of studies (including replication) and write a book rather than publish in articles. We concluded few would likely read that either. I research more for personal enjoyment/learning now than to publish.",,,,,,,,,os,
R_66FmTZwYZt8IJcR,"Some of the open access answers are more to do with open access journals being rated less prestigious than other journals in my field. If the prestigious journals were open access I think that would be a good think, but they are currently extremely expensive to make open access if the option is even given.",,,,,,,,field,,
R_5I6tsf75EpiMrJM,"Scholars studying particular topics are targeted by some scientists who seek to find their data and publish studies to discredit their work. In these cases, generally, there is nothing wrong with the people's work, yet they are targeted because they are studying issues related to women, minorities, and media violence, to name a few. These groups of scholars are disproportionately targeted.",,,,,,,,field,,
R_6I4bUxOJmS2o6sY,"I intentionally skipped all the percentage questions, as I truly have no idea of the proportions for each category. I rarely had those conversations with people in my field.",,,,general,uncertainty,,,,,
R_1NFDGK8fDjl5aut,"Science is a process, and i believe in it, and I also believe that it is not ALL that we have to know about our world. The systems that control science - like our government, academic institutions, and societal norms, DO play a role in what gets studied and what is published, etc. If you want to keep doing work, sometimes you have to ""obey"" enough and ""disobey"" enough of these systems' unjust rules in order to do as much good science - that helps society - as you possible can.",,,,,,,,,,sci-values